TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
611000;6110;Internal pressure result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedInternalVacuum_LOGICAL;Result of initial check of internal pressure (0: ok, 1: error).
611001;6110;Internal pressure (mbar);TECH_AUX_PRESSURE_InitialCheckInternalVacuum_mbar;Internal vacuum sampled during initial check.
611002;6110;Internal pressure compensed (mbar);TECH_AUX_PRESSURE_InitialCheckInternalVacuumCompensed_mbar;Internal vacuum sampled during initial check (compensed in temperature to be compared with factory value, should be around 600 mbar for Arvor float).
611003;6110;Internal temperature result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedInternalTemperature_LOGICAL;Result of initial check of internal temperature (0: ok, 1: error).
611004;6110;Internal temperature (°C);TECH_AUX_TEMPERATURE_InitialCheckInternalTemperature_degC;Internal temperature sampled during initial check.
611005;6110;Internal relative humidity result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedInternalHumidity_LOGICAL;Result of initial check of internal relative humidity (0: ok, 1: error).
611006;6110;Internal relative humidity (%);TECH_AUX_RATE_InitialCheckInternalHumidity_percent;Internal relative humidity sampled during initial check.
611100;6111;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedGnss_LOGICAL;Result of initial check of Global Navigation Satellite System (0: ok, 1: error).
611200;6112;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedModem_LOGICAL;Result of initial check of modem (0: ok, 1: error).
700003;7000;Number of satellite;NUMBER_GPSSatellites_COUNT;number of GPS satellites seen by the float 
700007;7000;;TECH_AUX_NUMBER_GPSSatellites_COUNT;number of GPS satellites seen by the float 
700004;7000;Valid fix;TECH_AUX_FLAG_GPSValidFix_LOGICAL;Flag for GPS fix determination (1 if a valid fix has been transmitted in tech msg, 0 otherwise).
700005;7000;Clock drift (s) (*);CLOCK_FloatTimeCorrection_seconds;float internal clock time correction
700008;7000;;TECH_AUX_CLOCK_FloatTimeCorrection_seconds;float internal clock time correction
700006;7000;Session duration (s);TIME_IridiumGPSFix_seconds;the number of seconds required to obtain a GPS fix for a profile
700009;7000;;TECH_AUX_TIME_IridiumGPSFix_seconds;the number of seconds required to obtain a GPS fix for a profile
700100;7001;Date/Time (in second since 2000);TECH_AUX_CLOCK_PreviousIridiumSessionEnd_YYYYMMDDHHSSMM;End time of the previous Iridium session.
700101;7001;Session duration (s);TIME_PreviousIridiumSession_seconds;Duration on the previous Iridium session
700102;7001;SBDI success counter;TECH_AUX_NUMBER_SbdTransmitted_COUNT;Number of SBD message transmitted.
700103;7001;SBDI total counter;TECH_AUX_NUMBER_SbdSent_COUNT;Number of SBD message sent (but not necessarily successfully transmitted).
700104;7001;Remote command accepted counter;NUMBER_RemoteControlCommandOK_COUNT;Number of remote control commands successfully considered.
700105;7001;Remote command refused counter;NUMBER_RemoteControlCommandKO_COUNT;Number of remote control commands rejected by the float.
