CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
TECHNICAL-DESCENT-MAX.P1;Min speed (cm/s);Min speed (cm/s);CONFIG_AUX_DescentMaxThresholdForMinSpeedProcessing_cm/s;Parameter used to compute min speed before buoyancy action with expected mean speed on descent.
TECHNICAL-DESCENT-MAX.P2;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_AUX_DescentMaxThresholdForPressureMonitoringPeriodProcessing_seconds;Parameter used to compute pressure monitoring period with expected mean speed on descent.
TECHNICAL-DESCENT-MAX.P3;Volume of SV activation (cm3);Volume of SV activation (cm3);CONFIG_AUX_DescentMaxThresholdForMaxVolumeOfValveActionProcessing_cm^3;Parameter used to compute max volume of valve action with expected mean speed on descent.
TECHNICAL-DRIFT.P0;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_PressureCheckTimeParking_seconds;Period of the pressure checks during the float drift at park or profile depth.
TECHNICAL-REPOSITIONING.P0;Speed stabilization (cm/s);Speed stabilization (cm/s);CONFIG_AUX_ExpectedSpeedStabilizationDuringDriftReposition_cm/s;Expected speed stabilization during drift reposition (used to compute hydraulic activity during drift reposition).
TECHNICAL-REPOSITIONING-MIN.P0;Tolerance in pressure of expected depth (dbar);Tolerance in pressure of expected depth (dbar);CONFIG_AUX_DriftMinThresholdForToleranceBeforeDriftRepositionProcessing_cm/s;Parameter used to compute parameters associated with expected tolerance before drift reposition.
TECHNICAL-REPOSITIONING-MIN.P1;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_AUX_DriftMinThresholdForPressureMonitoringPeriodProcessing_cm/s;Parameter used to compute pressure monitoring period with expected tolerance before drift reposition.
TECHNICAL-REPOSITIONING-MIN.P2;Maximum volume of SV activation (cm3);Maximum volume of SV activation (cm3);CONFIG_AUX_DriftMinThresholdForMaxVolumeOfValveActionProcessing_cm^3;Parameter used to compute max volume of valve action with expected tolerance before drift reposition.
TECHNICAL-REPOSITIONING-MIN.P3;Maximum volume of PUMP activation (cm3);Maximum volume of PUMP activation (cm3);CONFIG_AUX_DriftMinThresholdForMaxVolumeOfPumpActionProcessing_cm^3;Parameter used to compute max volume of pump action with expected tolerance before drift reposition.
TECHNICAL-REPOSITIONING-MAX.P0;Tolerance in pressure of expected depth (dbar);Tolerance in pressure of expected depth (dbar);CONFIG_AUX_DriftMaxThresholdForToleranceBeforeDriftRepositionProcessing_cm/s;Parameter used to compute parameters associated with expected tolerance before drift reposition.
TECHNICAL-REPOSITIONING-MAX.P1;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_AUX_DriftMaxThresholdForPressureMonitoringPeriodProcessing_cm/s;Parameter used to compute pressure monitoring period with expected tolerance before drift reposition.
TECHNICAL-REPOSITIONING-MAX.P2;Maximum volume of SV activation (cm3);Maximum volume of SV activation (cm3);CONFIG_AUX_DriftMaxThresholdForMaxVolumeOfValveActionProcessing_cm^3;Parameter used to compute max volume of valve action with expected tolerance before drift reposition.
